StoreNumber,Date,Weekday,InstoreTraffic,StorefrontTraffic,WindowsConversion,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,WeekNumber,normal_vacation,special_vacation,consistent_vacation
1010105,2016/12/29,Thursday,177,3077,0.058,22580,13,0.073,1737,1.77,0.291,15.3,127.5706215,0.242,4,0,0,0
1010105,2016/12/30,Friday,310,4339,0.071,40438,24,0.077,1685,2.46,0.27,14.7,130.4451613,0.246,5,0,0,0
1010105,2016/12/31,Saturday,370,4761,0.078,69999,42,0.114,1667,1.98,0.304,13.2,189.1864865,0.145,6,1,1,1
1010105,2017/1/1,Sunday,523,4612,0.113,107200,69,0.132,1554,1.75,0.287,14.1,204.9713193,0.143,7,1,1,1
1010105,2017/1/2,Monday,218,2291,0.095,97770,53,0.243,1845,2.06,0.378,19,448.4862385,0.226,1,0,0,1
1010105,2017/1/3,Tuesday,203,2659,0.076,47953,25,0.123,1918,1.72,0.333,16.2,236.2216749,0.321,2,0,0,0
1010105,2017/1/4,Wednesday,131,1848,0.071,42400,14,0.107,3029,2.29,0.33,15.1,323.6641221,0.334,3,0,0,0
1010105,2017/1/5,Thursday,156,2797,0.056,43229,22,0.141,1965,1.45,0.336,14.7,277.1089744,0.326,4,0,0,0
1010105,2017/1/6,Friday,258,3217,0.08,56815,40,0.155,1420,2.42,0.303,16.2,220.2131783,0.3,5,0,0,0
1010105,2017/1/7,Saturday,427,4275,0.1,97490,55,0.129,1773,2.29,0.303,14.4,228.3138173,0.236,6,1,0,0
1010105,2017/1/8,Sunday,410,3515,0.117,89240,52,0.127,1716,2.73,0.378,15.6,217.6585366,0.256,7,1,0,0
1010105,2017/1/9,Monday,132,1781,0.074,46316,25,0.189,1853,2.64,0.367,21.6,350.8787879,0.34,1,0,0,0
1010105,2017/1/10,Tuesday,153,2717,0.056,48174,28,0.183,1721,2.43,0.336,17.9,314.8627451,0.351,2,0,0,0
1010105,2017/1/11,Wednesday,116,1946,0.06,34639,24,0.207,1443,1.54,0.394,15.6,298.612069,0.282,3,0,0,0
1010105,2017/1/12,Thursday,178,2892,0.062,27116,18,0.101,1506,1.5,0.237,14,152.3370787,0.298,4,0,0,0
1010105,2017/1/13,Friday,218,3451,0.063,38617,28,0.128,1379,1.57,0.246,12.6,177.1422018,0.283,5,0,0,0
1010105,2017/1/14,Saturday,315,4532,0.07,86766,50,0.159,1735,1.78,0.269,12,275.447619,0.234,6,1,0,0
1010105,2017/1/15,Sunday,297,3507,0.085,85948,50,0.168,1719,1.68,0.284,11.5,289.3872054,0.281,7,1,0,0
1010105,2017/1/16,Monday,109,1975,0.055,35774,19,0.174,1883,1.95,0.233,15.2,328.2018349,0.356,1,0,0,0
1010105,2017/1/17,Tuesday,173,2893,0.06,49751,31,0.179,1605,1.74,0.202,12.2,287.5780347,0.293,2,0,0,0
1010105,2017/1/18,Wednesday,139,2212,0.063,48895,28,0.201,1746,1.57,0.248,13.5,351.7625899,0.329,3,0,0,0
1010105,2017/1/19,Thursday,224,3379,0.066,57792,37,0.165,1562,1.92,0.268,11,258,0.297,4,0,0,0
1010105,2017/1/20,Friday,296,3347,0.088,77533,43,0.145,1803,2.37,0.295,13.4,261.9358108,0.298,5,0,0,0
1010105,2017/1/21,Saturday,346,4306,0.08,77326,50,0.145,1547,1.74,0.234,12.5,223.4855491,0.25,6,1,0,0
1010105,2017/1/22,Sunday,369,3846,0.096,78284,51,0.138,1535,1.71,0.285,12.6,212.1517615,0.257,7,1,0,0
1010105,2017/1/23,Monday,211,2356,0.09,64878,39,0.185,1664,1.85,0.326,11.9,307.478673,0.289,1,0,0,0
1010105,2017/1/24,Tuesday,305,3557,0.086,54355,36,0.118,1510,1.47,0.255,12.5,178.2131148,0.292,2,0,0,0
1010105,2017/1/25,Wednesday,205,2996,0.068,50889,30,0.146,1696,1.67,0.308,13.5,248.2390244,0.289,3,0,0,0
1010105,2017/1/26,Thursday,329,4566,0.072,80665,48,0.146,1681,1.65,0.272,12.7,245.1823708,0.276,4,0,0,0
1010105,2017/1/28,Saturday,557,4479,0.124,92624,61,0.11,1518,1.31,0.249,12.5,166.2908438,0.209,6,1,1,1
1010105,2017/1/29,Sunday,458,4081,0.112,102789,59,0.129,1742,1.47,0.287,11.4,224.430131,0.205,7,1,1,1
1010105,2017/1/30,Monday,444,4145,0.107,89538,60,0.135,1492,1.33,0.285,10.8,201.6621622,0.227,1,0,1,1
1010105,2017/1/31,Tuesday,363,5004,0.073,95506,58,0.16,1647,1.45,0.274,11.8,263.1019284,0.224,2,0,1,1
1010105,2017/2/1,Wednesday,255,3507,0.073,78704,41,0.161,1920,1.59,0.265,10.4,308.6431373,0.283,3,0,1,1
1010105,2017/2/2,Thursday,275,4061,0.068,42332,25,0.091,1693,1.52,0.243,10.3,153.9345455,0.251,4,0,0,0
1010105,2017/2/3,Friday,282,3800,0.074,40865,29,0.103,1409,1.21,0.252,12.5,144.9113475,0.289,5,0,0,0
1010105,2017/2/4,Saturday,288,4020,0.072,42546,36,0.125,1182,1.22,0.26,10.7,147.7291667,0.26,6,1,0,0
1010105,2017/2/5,Sunday,289,3816,0.076,50303,34,0.118,1480,1.38,0.286,11,174.0588235,0.256,7,1,0,0
1010105,2017/2/6,Monday,105,2404,0.044,22039,15,0.143,1469,1.33,0.253,11.3,209.8952381,0.337,1,0,0,0
1010105,2017/2/7,Tuesday,160,3500,0.046,29439,17,0.106,1732,1.41,0.211,11.3,183.99375,0.297,2,0,0,0
1010105,2017/2/8,Wednesday,130,2373,0.055,37890,31,0.238,1222,1.81,0.241,13,291.4615385,0.32,3,0,0,0
1010105,2017/2/9,Thursday,187,3156,0.059,6625,6,0.032,1104,1.67,0.284,12.4,35.42780749,0.293,4,0,0,0
1010105,2017/2/11,Saturday,239,3562,0.067,45840,29,0.121,1581,1.59,0.265,12.2,191.7991632,0.292,6,1,0,0
1010105,2017/2/12,Sunday,252,3669,0.069,57455,37,0.147,1553,1.59,0.299,11.7,227.9960317,0.272,7,1,0,0
1010105,2017/2/13,Monday,98,2263,0.043,13030,10,0.102,1303,1.5,0.243,10.8,132.9591837,0.348,1,0,0,0
1010105,2017/2/14,Tuesday,180,3183,0.057,25710,17,0.094,1512,1.41,0.242,13.6,142.8333333,0.324,2,0,0,0
1010105,2017/2/15,Wednesday,115,2270,0.051,23758,20,0.174,1188,1.25,0.234,12.9,206.5913043,0.345,3,0,0,0
1010105,2017/2/16,Thursday,173,3148,0.055,9275,6,0.035,1546,1.5,0.272,12.2,53.61271676,0.296,4,0,0,0
1010105,2017/2/17,Friday,158,3367,0.047,19296,12,0.076,1608,1.42,0.203,13.8,122.1265823,0.34,5,0,0,0
1010105,2017/2/18,Saturday,221,4101,0.054,17510,12,0.054,1459,1.67,0.255,13.1,79.23076923,0.279,6,1,0,0
1010105,2017/2/19,Sunday,274,3571,0.077,42516,30,0.109,1417,1.6,0.22,13.8,155.1678832,0.259,7,1,0,0
1010105,2017/2/20,Monday,75,1761,0.043,21916,13,0.173,1686,1.54,0.209,12.5,292.2133333,0.306,1,0,0,0
1010105,2017/2/21,Tuesday,178,2939,0.061,34104,23,0.129,1483,1.65,0.205,11.4,191.5955056,0.281,2,0,0,0
1010105,2017/2/22,Wednesday,98,1868,0.052,34696,12,0.122,2891,2.67,0.296,16.4,354.0408163,0.334,3,0,0,0
1010105,2017/2/23,Thursday,155,2530,0.061,21170,14,0.09,1512,1.5,0.323,15.7,136.5806452,0.331,4,0,0,0
1010105,2017/2/24,Friday,156,3172,0.049,13790,10,0.064,1379,1.7,0.259,12.9,88.3974359,0.286,5,0,0,0
1010105,2017/2/25,Saturday,317,4858,0.065,47010,30,0.095,1567,1.33,0.269,13.1,148.29653,0.2,6,1,0,1
1010105,2017/2/26,Sunday,247,4219,0.059,63200,34,0.138,1859,1.68,0.262,13.4,255.8704453,0.204,7,1,0,1
1010105,2017/3/1,Wednesday,83,1838,0.045,21380,10,0.12,2138,1.6,0.229,15,257.5903614,0.346,3,0,0,0
1010105,2017/3/2,Thursday,130,2470,0.053,34136,20,0.154,1707,1.65,0.224,15.9,262.5846154,0.303,4,0,0,0
1010105,2017/3/3,Friday,136,3492,0.039,28989,19,0.14,1526,1.16,0.265,12.3,213.1544118,0.301,5,0,0,0
1010105,2017/3/4,Saturday,268,4570,0.059,48263,27,0.101,1788,1.56,0.247,12.1,180.0858209,0.233,6,1,0,0
1010105,2017/3/5,Sunday,195,3192,0.061,58609,32,0.164,1832,1.63,0.26,13.3,300.5589744,0.238,7,1,0,0
1010105,2017/3/6,Monday,81,1700,0.048,37276,24,0.296,1553,1.38,0.275,12.9,460.1975309,0.342,1,0,0,0
1010105,2017/3/7,Tuesday,126,2517,0.05,20107,10,0.079,2011,2.1,0.282,13.6,159.5793651,0.337,2,0,0,0
1010105,2017/3/8,Wednesday,69,1927,0.036,25497,15,0.217,1700,1.47,0.239,12.6,369.5217391,0.322,3,0,0,0
1010105,2017/3/9,Thursday,118,2616,0.045,8917,11,0.093,811,1.09,0.265,13.4,75.56779661,0.317,4,0,0,0
1010105,2017/3/10,Friday,130,2870,0.045,24595,15,0.115,1640,1.33,0.236,12.2,189.1923077,0.301,5,0,0,0
1010105,2017/3/11,Saturday,291,4575,0.064,34416,22,0.076,1564,1.77,0.252,12.6,118.2680412,0.23,6,1,0,0
1010105,2017/3/12,Sunday,190,3310,0.057,32437,20,0.105,1622,1.25,0.257,11.6,170.7210526,0.248,7,1,0,0
1010105,2017/3/13,Monday,79,1759,0.045,21318,11,0.139,1938,1.27,0.273,10.9,269.8481013,0.323,1,0,0,0
1010105,2017/3/14,Tuesday,118,2566,0.046,25417,15,0.127,1694,1.87,0.253,11.3,215.3983051,0.321,2,0,0,0
1010105,2017/3/15,Wednesday,67,1829,0.037,20016,11,0.164,1820,1.64,0.26,11,298.7462687,0.346,3,0,0,0
1010105,2017/3/16,Thursday,124,2377,0.052,14378,5,0.04,2876,3.4,0.271,16.6,115.9516129,0.338,4,0,0,0
1010105,2017/3/17,Friday,165,3031,0.054,23604,17,0.103,1388,1.88,0.293,13.3,143.0545455,0.306,5,0,0,0
1010105,2017/3/18,Saturday,309,4532,0.068,22469,14,0.045,1605,2.36,0.255,12.4,72.71521036,0.236,6,1,0,0
1010105,2017/3/19,Sunday,224,3463,0.065,32414,21,0.094,1544,1.86,0.282,11.5,144.7053571,0.26,7,1,0,0
1010105,2017/3/20,Monday,58,1605,0.036,10319,6,0.103,1720,2.5,0.257,13.5,177.9137931,0.362,1,0,0,0
1010105,2017/3/21,Tuesday,136,2323,0.059,19249,11,0.081,1750,1.82,0.232,14,141.5367647,0.28,2,0,0,0
1010105,2017/3/22,Wednesday,61,1917,0.032,18825,13,0.213,1448,2.46,0.308,19.3,308.6065574,0.326,3,0,0,0
1010105,2017/3/23,Thursday,122,2878,0.042,26210,11,0.09,2383,2.91,0.249,14.5,214.8360656,0.316,4,0,0,0
1010105,2017/3/24,Friday,113,2877,0.039,12200,8,0.071,1525,1.38,0.251,12.5,107.9646018,0.304,5,0,0,0
1010105,2017/3/25,Saturday,278,4199,0.066,48333,23,0.083,2101,2.22,0.239,12.4,173.8597122,0.251,6,1,0,0
1010105,2017/3/26,Sunday,183,2965,0.062,34098,18,0.098,1894,1.39,0.246,12.8,186.3278689,0.278,7,1,0,0
1010105,2017/3/27,Monday,57,1824,0.031,12523,8,0.14,1565,1.63,0.245,11.7,219.7017544,0.342,1,0,0,0
1010105,2017/3/28,Tuesday,105,2492,0.042,14467,9,0.086,1607,1.78,0.231,14.5,137.7809524,0.329,2,0,0,0
1010105,2017/3/29,Wednesday,69,1659,0.042,25170,13,0.188,1936,1.38,0.287,12.8,364.7826087,0.358,3,0,0,0
1010105,2017/3/30,Thursday,84,2516,0.033,8940,6,0.071,1490,1.17,0.273,12.3,106.4285714,0.299,4,0,0,0
1010105,2017/3/31,Friday,151,3334,0.045,39580,22,0.146,1799,1.55,0.258,10.5,262.1192053,0.303,5,0,0,0
1010105,2017/4/1,Saturday,279,4296,0.065,41092,30,0.108,1370,1.8,0.239,11.4,147.2831541,0.219,6,1,0,1
1010105,2017/4/2,Sunday,364,4524,0.08,72532,37,0.102,1960,2.81,0.246,10.6,199.2637363,0.194,7,1,0,1
1010105,2017/4/3,Monday,202,2969,0.068,48638,28,0.139,1737,2.25,0.216,9.2,240.7821782,0.231,1,0,0,1
1010105,2017/4/4,Tuesday,250,3305,0.076,41724,26,0.104,1605,2.31,0.257,12.6,166.896,0.273,2,0,1,1
1010105,2017/4/5,Wednesday,66,1702,0.039,13400,11,0.167,1218,1.36,0.266,11.3,203.030303,0.355,3,0,0,0
1010105,2017/4/6,Thursday,137,2627,0.052,18598,12,0.088,1550,1.5,0.221,14,135.7518248,0.303,4,0,0,0
1010105,2017/4/7,Friday,176,3162,0.056,35547,19,0.108,1871,2.21,0.251,10.9,201.9715909,0.304,5,0,0,0
1010105,2017/4/8,Saturday,323,4450,0.073,53631,34,0.105,1577,2,0.226,10.9,166.0402477,0.233,6,1,0,0
1010105,2017/4/9,Sunday,325,3367,0.097,101189,54,0.166,1874,1.81,0.251,12.2,311.3507692,0.29,7,1,0,0
1010105,2017/4/10,Monday,91,1645,0.055,21260,14,0.154,1519,1.57,0.278,11.3,233.6263736,0.341,1,0,0,0
1010105,2017/4/11,Tuesday,129,2254,0.057,30845,19,0.147,1623,1.84,0.269,10.2,239.1085271,0.292,2,0,0,0
1010105,2017/4/12,Wednesday,57,1613,0.035,13798,9,0.158,1533,1.56,0.305,12.4,242.0701754,0.325,3,0,0,0
1010105,2017/4/13,Thursday,110,2751,0.04,20675,13,0.118,1590,1.92,0.201,14.9,187.9545455,0.321,4,0,0,0
1010105,2017/4/14,Friday,169,3057,0.055,34245,21,0.124,1631,1.62,0.236,9.5,202.6331361,0.303,5,0,0,0
1010105,2017/4/15,Saturday,359,4045,0.089,39300,27,0.075,1456,1.59,0.228,12.1,109.4707521,0.265,6,1,0,0
1010105,2017/4/16,Sunday,188,2885,0.065,36850,27,0.144,1365,1.7,0.256,13.2,196.0106383,0.285,7,1,0,0
1010105,2017/4/17,Monday,73,1526,0.048,13850,8,0.11,1731,1.75,0.272,12.8,189.7260274,0.353,1,0,0,0
1010105,2017/4/18,Tuesday,125,2230,0.056,22035,14,0.112,1574,2.5,0.235,10.6,176.28,0.311,2,0,0,0
1010105,2017/4/19,Wednesday,85,1597,0.053,26343,15,0.176,1756,2,0.288,13.9,309.9176471,0.395,3,0,0,0
1010105,2017/4/20,Thursday,147,2307,0.064,26696,16,0.109,1669,2.19,0.285,12.3,181.6054422,0.332,4,0,0,0
1010105,2017/4/21,Friday,179,2890,0.062,31214,17,0.095,1836,1.82,0.246,13.5,174.3798883,0.302,5,0,0,0
1010105,2017/4/22,Saturday,190,3332,0.057,34317,19,0.1,1806,2.47,0.264,10.5,180.6157895,0.271,6,1,0,0
1010105,2017/4/23,Sunday,188,2629,0.072,37985,22,0.117,1727,2.27,0.278,12.7,202.0478723,0.255,7,1,0,0
1010105,2017/4/24,Monday,43,1570,0.027,12665,9,0.209,1407,2,0.276,13.5,294.5348837,0.367,1,0,0,0
1010105,2017/4/25,Tuesday,143,2280,0.063,21798,13,0.091,1677,2.15,0.29,15,152.4335664,0.325,2,0,0,0
1010105,2017/4/26,Wednesday,60,1463,0.041,16748,7,0.117,2393,2.71,0.246,13.7,279.1333333,0.337,3,0,0,0
1010105,2017/4/27,Thursday,101,2052,0.049,25608,12,0.119,2134,2.08,0.28,12.3,253.5445545,0.331,4,0,0,0
1010105,2017/4/28,Friday,135,3013,0.045,13606,10,0.074,1361,1.9,0.262,11.3,100.7851852,0.295,5,0,0,0
1010105,2017/4/29,Saturday,267,4002,0.067,51688,29,0.109,1782,2.45,0.276,10.6,193.588015,0.244,6,1,0,0
1010105,2017/4/30,Sunday,297,3404,0.087,126415,38,0.128,3327,4.61,0.29,13.4,425.6397306,0.236,7,1,0,0
1010105,2017/5/1,Monday,101,1679,0.06,47394,21,0.208,2257,2.9,0.276,11.1,469.2475248,0.312,1,0,0,0
1010105,2017/5/2,Tuesday,124,2207,0.056,16970,9,0.073,1886,1.89,0.298,13.3,136.8548387,0.351,2,0,0,0
