StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,2FTraffic,2FConversion,normal_vacation,special_vacation,consistent_vacation
1010106,2017/1/12,Thursday,0,265,3416,0.078,Cloudy,31598,17,0.064,1859,1.76,0.466,11.3,119.2377358,0.266,69,4,161,0.608,0,0,0
1010106,2017/1/13,Friday,0,257,2824,0.091,Rain,40372,24,0.093,1682,1.63,0.465,12.8,157.0894942,0.241,59,5,199,0.774,0,0,0
1010106,2017/1/14,Saturday,0,723,5252,0.138,Rain,144433,67,0.093,2156,1.85,0.534,12.9,199.769018,0.176,58,6,366,0.506,1,0,0
1010106,2017/1/15,Sunday,0,692,5773,0.12,Rain,128868,62,0.09,2079,1.53,0.545,11.2,186.2254335,0.197,56,7,359,0.519,1,0,0
1010106,2017/1/16,Monday,0,318,3499,0.091,Cloudy,49165,27,0.085,1821,1.78,0.513,11.6,154.6069182,0.284,60,1,172,0.541,0,0,0
1010106,2017/1/17,Tuesday,0,311,3934,0.079,Cloudy,45377,26,0.084,1745,1.69,0.477,11.6,145.9067524,0.29,70,2,158,0.508,0,0,0
1010106,2017/1/18,Wednesday,0,288,4051,0.071,Cloudy,57752,35,0.122,1650,1.34,0.522,9.6,200.5277778,0.279,71,3,175,0.608,0,0,0
1010106,2017/1/19,Thursday,0,321,4703,0.068,Rain,60355,42,0.131,1437,1.67,0.466,10.2,188.0218069,0.244,67,4,240,0.748,0,0,0
1010106,2017/1/20,Friday,0,426,4500,0.095,Rain,102323,65,0.153,1574,1.66,0.588,11.6,240.1948357,0.249,54,5,232,0.545,0,0,0
1010106,2017/1/23,Monday,0,383,4539,0.084,Cloudy,99578,56,0.146,1778,1.75,0.534,11.7,259.9947781,0.249,58,1,251,0.655,0,0,0
1010106,2017/1/24,Tuesday,0,428,4588,0.093,Breezy,72790,43,0.1,1693,1.77,0.559,11.4,170.0700935,0.23,59,2,220,0.514,0,0,0
1010106,2017/1/25,Wednesday,0,408,4968,0.082,Rain,65244,40,0.098,1631,1.73,0.556,12.3,159.9117647,0.24,61,3,215,0.527,0,0,0
1010106,2017/1/26,Thursday,0,550,5562,0.099,Cloudy,94543,56,0.102,1688,1.77,0.625,10.5,171.8963636,0.167,63,4,327,0.595,0,0,0
1010106,2017/1/28,Saturday,0,670,5790,0.116,Sunny,140026,79,0.118,1772,1.65,0.545,10.8,208.9940299,0.154,73,6,310,0.463,1,1,1
1010106,2017/1/29,Sunday,0,580,5522,0.105,Sunny,90242,56,0.097,1611,1.52,0.593,7.8,155.5896552,0.144,73,7,259,0.447,1,1,1
1010106,2017/1/30,Monday,0,633,5090,0.124,Rain,144385,81,0.128,1783,1.51,0.586,10.8,228.0963665,0.118,62,1,304,0.48,0,1,1
1010106,2017/1/31,Tuesday,0,817,7066,0.116,Breezy,126250,84,0.103,1503,1.36,0.516,8.5,154.5287638,0.115,62,2,391,0.479,0,1,1
1010106,2017/2/1,Wednesday,0,866,7035,0.123,Cloudy,139747,77,0.089,1815,1.55,0.394,9.5,161.3706697,0.089,62,3,384,0.443,0,1,1
1010106,2017/2/2,Thursday,0,416,5060,0.082,Cloudy,72913,49,0.118,1488,1.35,0.353,8.3,175.2716346,0.123,60,4,199,0.478,0,0,0
1010106,2017/2/3,Friday,0,498,5595,0.089,Cloudy,92984,55,0.11,1691,1.51,0.333,8.8,186.7148594,0.092,71,5,224,0.45,0,0,0
1010106,2017/2/4,Saturday,0,705,7809,0.09,Cloudy,97565,60,0.085,1626,1.37,0.25,6,138.3900709,0.147,69,6,254,0.36,1,0,0
1010106,2017/2/5,Sunday,0,623,6191,0.101,Cloudy,126600,76,0.122,1666,1.41,0.35,6,203.2102729,0.118,69,7,255,0.409,1,0,0
1010106,2017/2/6,Monday,0,352,4410,0.08,Cloudy,41627,24,0.068,1734,1.21,0.286,15,118.2585227,0.229,64,1,134,0.381,0,0,0
